HealthC_level,HealthC_raw,contrast,estimate,se,t,p,sig
Low HealthC (-1 SD),5.1894961049861035,"AI coach - Human expert, averaged across frames",-0.29821038490956187,0.1092272457454419,-2.7301831413432516,0.006922091619641746,**
Mean HealthC,5.772194304857622,"AI coach - Human expert, averaged across frames",-0.0809432084106084,0.07702109200119159,-1.0509226279128336,0.29462195232077626,
High HealthC (+1 SD),6.35489250472914,"AI coach - Human expert, averaged across frames",0.13632396808834507,0.10958127709703146,1.2440443449808825,0.21500780248671658,
