var1,var2,n,r,p,sig
Intention,HealthC,199,0.5635698856498994,0.0,***
Intention,Source_AI,199,0.01109210572443087,0.8764330946065169,
Intention,Frame_Gain,199,0.1339946134728625,0.059182308603538125,.
HealthC,Source_AI,199,0.09995471783342832,0.16011872901648716,
HealthC,Frame_Gain,199,0.097072801164513,0.1725747312638195,
Source_AI,Frame_Gain,199,-0.02515151515151515,0.7243685186135194,
