Source,Frame,n,M_Intention,SD_Intention,M_HealthC,SD_HealthC
Human expert,Loss frame,48,5.694444444444444,0.8500683697530044,5.642361111111111,0.5914976617414037
Human expert,Gain frame,51,5.9411764705882355,0.4700159919404222,5.781045751633987,0.6078104566378052
AI coach,Loss frame,51,5.777777777777777,0.7323225357015143,5.784313725490196,0.5209970330978207
AI coach,Gain frame,49,5.8979591836734695,0.6243666481021252,5.877551020408164,0.6016715818167218
