variable,n,mean,sd,min,max,skewness,kurtosis_excess
Intention,199,5.8291457286432165,0.6831787592950893,2.66666666666667,7.0,-1.085791152401541,3.1717356971959916
HealthC,199,5.772194304857622,0.5826981998715178,4.0,7.0,-0.5469720781507935,0.011910871330929496
Source_AI,199,0.5025125628140703,0.5012547071170855,0.0,1.0,-0.01012687174784726,-2.020304568527919
Frame_Gain,199,0.5025125628140703,0.5012547071170855,0.0,1.0,-0.01012687174784726,-2.020304568527919
