coding_scheme,n,df_model,df_resid,R2,F,p,matches_spss_resid_df_179,effect,df_effect,df_error,SS_effect,sig,partial_eta_squared
current_numeric_Source_Frame_from_CSV,199,7,191,0.4022854688719387,18.364362573247465,0.0,False,,,,,,
current_numeric_Source_Frame_from_CSV,,,,,0.2778062194666738,0.5987543558579835,,Source,1,191,0.08034082962227984,,0.0014523703766652722
current_numeric_Source_Frame_from_CSV,,,,,0.005435742577520787,0.9413043803463409,,Frame,1,191,0.001572002488387625,,2.845857530906431e-05
current_numeric_Source_Frame_from_CSV,,,,,45.61867820292281,1.6840306926724224e-10,,HealthC_c,1,191,13.19280201908618,***,0.1927940708205651
current_numeric_Source_Frame_from_CSV,,,,,0.1424341664089724,0.706292033917866,,Source_x_Frame,1,191,0.04119158713517379,,0.0007451729231666524
current_numeric_Source_Frame_from_CSV,,,,,0.28752640850216493,0.5924339806038976,,Source_x_HealthC,1,191,0.08315188278263008,,0.0015031111223015178
current_numeric_Source_Frame_from_CSV,,,,,1.075914400803096,0.300924719898614,,Frame_x_HealthC,1,191,0.31115162118769035,,0.005601506072010648
current_numeric_Source_Frame_from_CSV,,,,,4.123179565606149,0.04368592071081112,,Source_x_Frame_x_HealthC,1,191,1.1924127099039552,*,0.0211311622472809
