HealthC_level,HealthC_raw,contrast,estimate,se,t,p,sig
Low HealthC (-1 SD),5.1894961049861035,"Gain frame - Loss frame, averaged across sources",0.3565327768863391,0.10922724574544192,3.264137756592817,0.0013010417099388327,**
Mean HealthC,5.772194304857622,"Gain frame - Loss frame, averaged across sources",0.09293050570703623,0.07702109200119159,1.2065591812902174,0.22909424528912603,
High HealthC (+1 SD),6.35489250472914,"Gain frame - Loss frame, averaged across sources",-0.17067176547226665,0.10958127709703148,-1.5574902026478579,0.12100954890654547,
