row,stimulus,Source_current,Frame_current,Source_clean_label,Frame_clean_label,Source_AI,Frame_Gain,Intention,HealthC,main_model_complete,current_matches_clean,single_stimulus_text
168,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.0,5.16666666666667,True,True,True
169,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.33333333333333,4.0,True,True,True
170,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.33333333333333,5.33333333333333,True,True,True
171,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.0,6.33333333333333,True,True,True
172,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.0,5.33333333333333,True,True,True
173,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,5.33333333333333,True,True,True
174,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,2.66666666666667,5.0,True,True,True
175,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.66666666666667,5.83333333333333,True,True,True
176,"Stimuli D. human loss,Stimuli D. human loss",1.0,0.0,Human expert,Loss frame,0.0,0.0,5.33333333333333,5.83333333333333,True,True,False
177,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.33333333333333,5.66666666666667,True,True,True
178,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.0,6.0,True,True,True
179,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,5.83333333333333,True,True,True
180,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.66666666666667,6.16666666666667,True,True,True
181,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,6.33333333333333,True,True,True
182,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,6.0,True,True,True
183,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.0,4.83333333333333,True,True,True
184,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.0,5.33333333333333,True,True,True
185,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.33333333333333,6.33333333333333,True,True,True
186,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,5.66666666666667,6.5,True,True,True
