"Estimate","Std. Error","t value","Pr(>|t|)","Variable"
5.7172,0.0769,74.3158,0,"(Intercept)"
0.069,0.0796,0.867,0.387,"Source"
0.8528,0.0973,8.7678,0,"HC_c"
0.0518,0.0794,0.6516,0.5154,"Frame"
0.0847,0.0799,1.0601,0.2904,"Sex"
-0.3918,0.137,-2.8607,0.0047,"Source:HC_c"
