"ML2","ML3","ML1","ML4","ML5","item"
0.528212227124868,0.0898765334190077,0.237653801767712,0.464035284436274,-0.183901625976433,"att1"
0.528472265536878,0.160610155351033,0.053863624835647,0.110565344906979,0.131371537796764,"att2"
0.638390146689353,0.12767605318083,0.0916726741150564,0.197293753846322,0.0952321159590561,"att3"
0.562572755920623,0.233522173372313,0.27302909488065,0.370823001551941,-0.175275932818008,"int1"
0.664886070171813,0.0373767080063831,0.146228573057751,0.128127275188209,0.225781965862469,"int2"
0.668014659709011,0.154990825636737,0.213238178781554,0.219726471335667,-0.0277635432835964,"int3"
0.140810715367769,0.212322182591557,0.621139308300469,0.143999665475117,-0.0175047968311004,"se1"
0.239640569182853,0.175719158320869,0.731378742830936,0.137833188765387,0.0362084945509958,"se2"
0.127327999611566,0.171128618025998,0.807960008594783,0.198471932774346,0.284146285306882,"se3"
0.137513879579215,0.71325198428655,0.229336872685611,0.196519957748134,-0.132259609365215,"tr1"
0.0685750008023006,0.70526156449211,0.186633374895606,0.083713280261041,0.189217847747873,"tr2"
0.253849878633645,0.525088998479826,0.0626950790973218,0.0389015349577641,0.102619632085208,"tr3"
0.0352652230462183,0.623590734592656,0.128388166807121,0.0996721566660367,-0.0070686317488827,"tr4"
0.145609110227328,0.647159697517552,0.111123905471825,0.11215233771382,0.225619233330151,"tr5"
0.196166131419478,0.169849316356188,0.110953304651303,0.64614365523015,0.0268571601516891,"hc1"
0.235253070072243,0.101037798637483,0.11202669380663,0.674606549633039,0.198336605447612,"hc2"
0.175034082200195,0.0807500029966384,0.185403569685366,0.567464164263006,0.0356388195588518,"hc3"
0.287547252093551,0.309497871420339,0.288853442039416,0.377033869764863,0.274999821674414,"hc4"
0.138244099444405,0.247469164566414,0.306586915881014,0.219721689525175,0.0971029261387279,"hc5"
0.155031428119558,0.219385531636305,0.162176259301248,0.124959173824479,0.564703502580275,"hc6"
