"lhs","est","se","pvalue","ci.lower","ci.upper","std.all"
"ind_H3",0.0332,0.0606,0.5837,-0.0896,0.1517,0.0271
"ind_H4",0.0614,0.0626,0.3268,-0.05,0.1967,0.0502
"ind_H5",-0.0133,0.0286,0.6412,-0.0732,0.0412,-0.0109
"ind_H6",0.0086,0.0144,0.5496,-0.0194,0.0391,0.007
"ind_source_total",0.0199,0.067,0.7665,-0.1139,0.1492,0.0162
"ind_frame_total",0.07,0.0692,0.312,-0.0572,0.2156,0.0572
"total_source",0.0397,0.0857,0.6435,-0.1284,0.2055,0.0324
"total_frame",0.0904,0.0892,0.3108,-0.0847,0.2652,0.0739
