"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Attitude",1,199,6.10552763819095,0.609987615733199,6.33333333333333,6.15527950310559,0.494200000000009,3.33333333333333,7,3.66666666666667,-1.03079590368591,1.8512148945786,0.0432408756081112
"Trust",2,199,5.61407035175879,0.685051804481685,5.6,5.65714285714286,0.59304,2.4,7,4.6,-0.786577909113361,1.68239892889092,0.0485620348654112
"SE",3,199,5.53266331658291,0.91619644994582,5.66666666666667,5.6231884057971,0.988399999999991,1.66666666666667,7,5.33333333333333,-1.16088990601743,2.2026555015356,0.0649474443461952
"HC",4,199,5.77219430485762,0.582698199871518,5.83333333333333,5.80331262939959,0.494200000000009,4,7,3,-0.538753892082258,-0.0482769743644971,0.041306380208111
"Intention",5,199,5.82914572864322,0.683178759295089,6,5.87163561076604,0.494199999999996,2.66666666666667,7,4.33333333333333,-1.06947727811355,3.00182490726826,0.0484292582125203
