"","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",1339.31601811694,1,2873.43096884771,2.95889456524478e-118
"Source",0.0870452577990761,1,0.186750950535828,0.666114584968257
"Frame",0.108791769509281,1,0.233406929682833,0.629553840470688
"Sex",1.13320571909415,1,2.43123233297743,0.120569177788615
"Source:Frame",0.102967347398859,1,0.220910943193208,0.638874612716365
"Residuals",90.4240645874572,194,NA,NA
