"Index","Value"
"chisq",213.7059
"df",9
"pvalue",0
"cfi",0.5231
"tli",-0.3777
"rmsea",0.3381
"rmsea.ci.lower",0.2996
"rmsea.ci.upper",0.3781
"srmr",0.1794
"aic",1529.6424
"bic",1611.975
