"","Source","Frame","Attitude","Trust","SE","HC","Intention","Sex"
"Source",0,0.8049,0.5755,0,0.0191,0.1279,0.9001,0.9095
"Frame",0.8049,0,0.2761,0.5172,0.4772,0.2542,0.2317,0.4164
"Attitude",0.5755,0.2761,0,0,0,0,0,0.2702
"Trust",0,0.5172,0,0,0,0,0,0.4473
"SE",0.0191,0.4772,0,0,0,0,0,0.0507
"HC",0.1279,0.2542,0,0,0,0,0,0.1003
"Intention",0.9001,0.2317,0,0,0,0,0,0.094
"Sex",0.9095,0.4164,0.2702,0.4473,0.0507,0.1003,0.094,0
